description;value
result.i18.p_miner_glas.prod_volume;6784000,00
result.i18.p_other.CO2e_combustion_based;19106810,00
result.i18.p_other.CO2e_production_based;17056850,00
result.i18.p_other.CO2e_total;36163660,00
result.i18.p_other.energy;281008333,22
result.i18.p_other.prod_volume;127859549,00
result.i18.p_other_2efgh.CO2e_production_based;15022000,00
result.i18.p_other_2efgh.CO2e_production_based_per_MWh;0,09
result.i18.p_other_2efgh.CO2e_total;15022000,00
result.i18.p_other_food.CO2e_combustion_based;8900000,00
result.i18.p_other_food.CO2e_combustion_based_per_t;0,08
result.i18.p_other_food.CO2e_production_based;0,00
result.i18.p_other_food.CO2e_production_based_per_t;0,00
result.i18.p_other_food.CO2e_total;8900000,00
result.i18.p_other_food.energy;59155833,33
result.i18.p_other_food.energy_use_factor;1,78
result.i18.p_other_food.pct_energy;0,21
result.i18.p_other_food.prod_volume;105178000,00
result.i18.p_other_further.CO2e_combustion_based;3651810,00
result.i18.p_other_further.CO2e_combustion_based_per_MWh;0,02
result.i18.p_other_further.CO2e_production_based;2034850,00
result.i18.p_other_further.CO2e_production_based_per_MWh;0,01
result.i18.p_other_further.CO2e_total;5686660,00
result.i18.p_other_further.energy;163407777,67
result.i18.p_other_further.pct_energy;0,58
result.i18.p_other_further.prod_volume;1,00
result.i18.p_other_paper.CO2e_combustion_based;6555000,00
result.i18.p_other_paper.CO2e_combustion_based_per_t;0,29
result.i18.p_other_paper.CO2e_production_based;0,00
result.i18.p_other_paper.CO2e_production_based_per_t;0,00
result.i18.p_other_paper.CO2e_total;6555000,00
result.i18.p_other_paper.energy;58444722,22
result.i18.p_other_paper.energy_use_factor;0,39
result.i18.p_other_paper.pct_energy;0,21
result.i18.p_other_paper.prod_volume;22681549,00
