ags,pv,wind_on,biomass,water
01051140,1790.84,41750.0,855.0,0.0
01053032,2350.0300000000007,1001.0,1526.0,0.0
01053083,801.34,0.0,1167.0,0.0
01053090,1146.795,0.0,3397.0,0.0
01053100,1598.374999999999,0.0,934.0,0.0
01053116,2325.564,0.0,937.0,0.0
01053129,506.56000000000006,0.0,908.0,0.0
01053008,109.47,0.0,0.0,0.0
01053009,479.59999999999997,0.0,0.0,0.0
01053011,189.485,0.0,0.0,0.0
01053024,53.5,0.0,0.0,0.0
01053034,8.4,0.0,0.0,0.0
01053061,274.685,15375.0,0.0,0.0
01053067,274.445,0.0,590.0,0.0
01053075,88.257,0.0,0.0,0.0
01053094,109.78,0.0,0.0,0.0
01053103,277.93399999999997,0.0,400.0,0.0
01053120,23.3,0.0,0.0,0.0
01053002,196.74,7800.0,0.0,0.0
01053005,442.82500000000005,6300.0,250.0,0.0
01053013,9.84,0.0,0.0,0.0
01053014,450.775,11750.0,0.0,0.0
01053037,35.010000000000005,0.0,0.0,0.0
01053056,44.0,0.0,0.0,0.0
01053084,45.3,0.0,0.0,0.0
01053095,143.115,0.0,0.0,0.0
01053113,378.96999999999997,0.0,0.0,0.0
01053125,124.68999999999998,0.0,0.0,0.0
01053134,398.24,0.0,0.0,0.0
01053010,149.54,0.0,0.0,0.0
01053015,234.28,0.0,0.0,0.0
01053020,1323.75,0.0,585.0,0.0
01053029,271.3,0.0,0.0,0.0
01053035,107.995,0.0,0.0,0.0
01053046,1244.08,10.0,0.0,0.0
01053048,206.31999999999996,0.0,0.0,0.0
01053064,145.96999999999997,0.0,0.0,0.0
01053080,121.58,0.0,0.0,0.0
01053092,685.4750000000001,0.0,0.0,0.0
01053104,429.86999999999995,0.0,299.0,0.0
01053115,173.84,0.0,0.0,0.0
01053119,42.290000000000006,0.0,549.0,0.0
01053126,265.23,0.0,0.0,0.0
01053132,146.42499999999998,0.0,0.0,0.0
01053003,125.20500000000001,0.0,225.0,0.0
01053012,514.0899999999999,0.0,0.0,0.0
01053023,349.11,0.0,0.0,0.0
01053028,134.77,3000.0,200.0,0.0
01053050,20.635,0.0,0.0,0.0
01053053,221.13,0.0,0.0,0.0
01053072,208.06,0.0,0.0,0.0
01053131,290.0,0.0,0.0,0.0
01053133,99.41,0.0,0.0,0.0
01053135,156.39499999999998,0.0,0.0,0.0
01053006,175.885,18200.0,0.0,0.0
01053019,213.85,0.0,0.0,0.0
01053022,92.41,0.0,0.0,0.0
01053058,175.99,0.0,0.0,0.0
01053073,177.945,2400.0,0.0,0.0
01053074,201.83999999999997,0.0,0.0,0.0
01053082,277.75,0.0,0.0,0.0
01053087,448.53999999999996,0.0,0.0,0.0
01053111,103.81,0.0,1400.0,0.0
01053128,0.0,12000.0,575.0,0.0
01053001,139.0,0.0,0.0,0.0
01053004,57.34,0.0,0.0,0.0
01053016,60.42,0.0,0.0,0.0
01053018,197.53,0.0,0.0,0.0
01053026,144.02,0.0,0.0,0.0
01053030,161.2,0.0,0.0,0.0
01053033,25.64,0.0,0.0,0.0
01053040,99.4,0.0,0.0,0.0
01053041,328.128,0.0,0.0,0.0
01053043,324.79100000000005,0.0,0.0,0.0
01053051,54.56,0.0,0.0,0.0
01053054,93.69,0.0,0.0,0.0
01053057,74.26,0.0,0.0,0.0
01053062,176.61,0.0,0.0,0.0
01053066,461.77000000000004,0.0,1265.0,0.0
01053078,133.44,0.0,0.0,0.0
01053088,29.490000000000002,0.0,190.0,0.0
01053093,234.51500000000001,0.0,0.0,0.0
01053098,262.558,0.0,0.0,0.0
01053102,21.6,0.0,0.0,0.0
01053107,309.485,0.0,0.0,0.0
01053110,302.56,0.0,0.0,2100.0
01053117,225.63,0.0,775.0,0.0
01053123,279.905,0.0,3321.0,0.0
01053136,167.76999999999998,0.0,0.0,0.0
01053007,38.39,0.0,0.0,0.0
01053017,353.19999999999993,0.0,0.0,0.0
01053021,209.77499999999998,0.0,0.0,0.0
01053027,25466.080000000005,0.0,2115.0,0.0
01053031,74.89,0.0,0.0,0.0
01053036,203.42000000000002,500.0,190.0,0.0
01053042,6.38,0.0,0.0,0.0
01053045,94.68,0.0,0.0,0.0
01053047,332.38,0.0,0.0,0.0
01053049,36.78,0.0,0.0,0.0
01053052,283.63,0.0,1337.0,0.0
01053059,236.04,0.0,0.0,0.0
01053060,299.51,0.0,0.0,0.0
01053070,28.917,0.0,0.0,0.0
01053071,110.343,0.0,0.0,0.0
01053076,169.84,0.0,0.0,0.0
01053089,12.0,0.0,0.0,0.0
01053091,6.1,0.0,0.0,0.0
01053106,212.995,0.0,0.0,0.0
01053025,205.31,0.0,0.0,0.0
01053038,7.26,0.0,0.0,0.0
01053039,34.465,0.0,0.0,0.0
01053044,147.47,600.0,0.0,0.0
01053068,274.62,0.0,549.0,0.0
01053069,21.24,0.0,0.0,0.0
01053077,95.27499999999999,0.0,0.0,0.0
01053079,285.68999999999994,0.0,800.0,0.0
01053081,69.19999999999999,0.0,0.0,0.0
01053085,176.815,0.0,0.0,0.0
01053086,65.65,0.0,600.0,0.0
01053096,53.9,0.0,0.0,0.0
01053097,307.16,8100.0,0.0,0.0
01053099,37.95,0.0,0.0,0.0
01053101,106.92499999999998,0.0,0.0,0.0
01053108,661.425,0.0,600.0,0.0
01053109,325.24999999999994,4000.0,0.0,0.0
01053112,900.5400000000001,0.0,0.0,0.0
01053114,35.6,0.0,0.0,0.0
01053118,69.30000000000001,6150.0,0.0,0.0
01053121,165.12,0.0,0.0,0.0
01053122,75.185,0.0,0.0,0.0
01053124,73.12,0.0,0.0,0.0
01053127,99.742,0.0,0.0,0.0
01053130,110.38,0.0,1000.0,0.0
01054033,676.55,0.0,330.0,0.0
01054056,8818.887999999997,34818.0,665.0,0.0
01054108,7934.289999999999,244667.0,4551.0,0.0
01054138,3318.8130000000006,7.5,1367.0,0.0
01054168,1695.036,0.0,0.0,0.0
01054035,1264.9600000000005,12.0,526.0,0.0
01054036,1173.0520000000004,0.0,0.0,0.0
01054040,700.9000000000001,0.0,0.0,0.0
01054063,287.6,0.0,0.0,0.0
01054072,121.88,0.0,0.0,0.0
01054090,173.475,0.0,0.0,0.0
01054095,2389.7450000000003,32112.0,110.0,0.0
01054100,1237.07,6.0,945.0,0.0
01054104,954.538,6.0,0.0,0.0
01054113,1944.7070000000003,0.0,0.0,0.0
01054134,1086.0649999999998,20720.0,0.0,0.0
01054135,533.83,0.0,0.0,0.0
01054140,251.51999999999998,0.0,0.0,0.0
01054145,859.55,0.0,0.0,0.0
01054148,972.23,0.0,0.0,0.0
01054150,290.28999999999996,0.0,0.0,0.0
01054046,19.8,0.0,0.0,0.0
01054061,71.9,0.0,0.0,0.0
01054078,141.31,0.0,0.0,0.0
01054149,172.91,0.0,0.0,0.0
01054003,1966.0499999999997,79400.0,754.0,0.0
01054004,2925.6600000000003,37890.0,0.0,0.0
01054011,2272.5999999999985,41050.0,670.0,0.0
01054013,359.44,3170.0,0.0,0.0
01054041,4015.2200000000007,9510.0,536.0,0.0
01054057,1686.19,0.0,0.0,0.0
01054079,2688.285,41560.0,1370.0,0.0
01054092,2487.71,36196.5,0.0,0.0
01054101,6755.928000000003,110.0,1810.0,0.0
01054118,1350.9150000000004,24440.0,0.0,0.0
01054123,1537.3999999999996,20220.0,0.0,0.0
01054144,8109.474999999999,29736.0,4610.0,0.0
01054152,2199.713,2006.0,1809.0,0.0
01054039,0.0,0.0,0.0,0.0
01054050,67.4,0.0,0.0,0.0
01054074,16.3,0.0,0.0,0.0
01054103,3892.9649999999992,14141.199999999999,549.0,0.0
01054005,1633.7699999999998,0.0,0.0,0.0
01054015,670.0050000000001,0.0,0.0,0.0
01054025,303.7,0.0,0.0,0.0
01054083,207.27000000000004,18.0,0.0,0.0
