ID;Nummer;Betreiber;Anlagenname;Bundesland;PLZ;Ort Orignal;Ort;VET 2018 [t CO2 Äq];Haupttätigkeit nach TEHG;Bezeichnung Haupttätigkeit nach TEHG;NACE WZ2008;AGS_manual;AGS;Prüfsumme
46;14220-0009;H.E.S. Hennigsdorfer Elektrostahlwerke GmbH;Elektrostahlwerk;BB;16761;Hennigsdorf;Hennigsdorf;61.071;10;Herstellung von Roheisen und Stahl;NACE 24.10;;12065136;1
202796;14226-0084;H.E.S. Hennigsdorfer Elektrostahlwerke GmbH;Walzwerk 320;BB;16761;Hennigsdorf;Hennigsdorf;32.017;11;Verarbeitung von Eisenmetallen;NACE 24.10;;12065136;1
1424;14310-0883;Stadtwerke Strausberg GmbH;HKW Nord;BB;15344;Strausberg;Strausberg;22.538;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12064472;1
81;14230-0010;Cemex Zement GmbH;Zementwerk Rüdersdorf;BB;15562;Rüdersdorf;Rüdersdorf;1.140.546;14;Herstellung von Zementklinker;NACE 23.51;;12064428;1
124;14240-0005;Fels-Werke GmbH;Fels KÜ GGR NSO;BB;15562;Rüdersdorf;Rüdersdorf;199.807;15;Herstellung von Kalk;NACE 23.52;;12064428;1
202344;14260-0267;Braas GmbH;Braas GmbH - Werk Petershagen;NW;32469;Petershagen;Petershagen;13.492;17;Herstellung von Keramik;NACE 23.32;;05770028;2
1291;14310-0742;Uniper Kraftwerke GmbH;Kraftwerk Heyden;NW;32469;Petershagen;Petershagen;1.744.340;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;05770028;2
204;14250-0018;Ardagh Glass GmbH;Neuenhagen Werk;BB;15366;Neuenhagen;Neuenhagen;39.660;16;Herstellung von Glas;NACE 23.13;;12064336;1
903;14310-0314;Rathenower Wärmeversorgung GmbH;BHKW mit SLK-Anlage Wärmeversorgung Rathenow;BB;14712;Rathenow;Rathenow;10.854;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;12063252;1
203153;14642-0003;Saint-Gobain Rigips GmbH;Werk Berlin-Brieselang;BB;14656;Brieselang;Brieselang;41.991;19;Herstellung von Gips;NACE 23.62;;12063036;1
210681;14250-0107;SWARCO SCHÖNBORN GmbH;Anlage zur Herstellung von Spezialglas (Mikro-Glaskugeln für Fahrbahnmarkierungen);BB;03253;Schönborn;Schönborn;6.035;16;Herstellung von Glas;NACE 23.19;12062453;07140139;4
1030;14310-0458;Energieversorgung Schwerin GmbH & Co. Erzeugung KG;Heizkraftwerk Lankow;MV;19057;Schwerin;Schwerin;28.053;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12061448;3
1047;14310-0476;Energieversorgung Schwerin GmbH & Co. Erzeugung KG;Heizkraftwerk Süd;MV;19061;Schwerin;Schwerin;101.241;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12061448;3
1058;14310-0487;Energieversorgung Schwerin GmbH & Co. Erzeugung KG;Heizwerk Lankow;MV;19057;Schwerin;Schwerin;2.956;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12061448;3
1781;14310-1340;Energieversorgung Schwerin GmbH & Co. Erzeugung KG;Heizwerk Süd;MV;19061;Schwerin;Schwerin;3.151;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12061448;3
1056;14310-0485;E.ON edis Contracting GmbH;Heizwerke im Flughafen Berlin Schönefeld;BB;12529;Schönefeld;Schönefeld;2;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;12061433;1
4144;14310-1745;E.ON edis Contracting GmbH;Energiezentrale SF 3;BB;12529;Schönefeld;Schönefeld;23.084;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;12061433;1
1477;14310-0941;RWE Generation SE;Kraftwerk Werne;NW;59368;Werne;Werne;1.775.172;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;05978040;4
1481;14310-0945;RWE Generation SE;Kraftwerk Gersteinwerk;NW;59368;Werne;Werne;14.640;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;05978040;4
1831;14330-0032;Open Grid Europe GmbH;Open Grid Europe GmbH Werk Werne;NW;59368;Werne;Werne;49.185;6;Antriebsmaschinen (Turbinen);NACE 35.22;;05978040;4
1310;14310-0761;Stadtwerke Bernau GmbH;BHKW;BB;16321;Bernau;Bernau;17.477;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;09187118;3
1227;14310-0671;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Ahrensfelde;BB;16356;Ahrensfelde;Ahrensfelde;1;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;12060005;1
865;14310-0272;Stadtwerke Frankfurt Oder GmbH;Heizkraftwerk;BB;15236;Frankfurt (Oder);Frankfurt (Oder);168.416;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12053000;1
866;14310-0273;Stadtwerke Frankfurt (Oder ) GmbH;Heizwerk Nord;BB;15234;Frankfurt (Oder);Frankfurt (Oder);1.442;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12053000;1
202537;14310-1816;Grillo-Werke Aktiengesellschaft;Schwefelsäure-Betrieb;HE;65926;Frankfurt;Frankfurt;0;1;Verbrennung;NACE 20.13;;12053000;2
1524;14310-0999;Stadtwerke Cottbus GmbH;HKW Cottbus Gesamtanlage;BB;03052;Cottbus;Cottbus;275.892;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12052000;1
51;14220-0014;B.E.S. Brandenburger Elektrostahlwerke GmbH;Elektrostahlwerk einschließlich Stranggußanlagen;BB;14770;Brandenburg;Brandenburg;104.296;10;Herstellung von Roheisen und Stahl;NACE 24.10;;12000000;2
202674;14226-0010;B.E.S. Brandenburger Elektrostahlwerke GmbH;Kontinuierliche Drahtstraße;BB;14770;Brandenburg;Brandenburg;65.383;11;Verarbeitung von Eisenmetallen;NACE 24.10;;12000000;2
1012;14310-0438;Uniper Kraftwerke GmbH;Kraftwerk Kirchmöser;BB;14774;Brandenburg;Brandenburg;251.781;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;12000000;2
1292;14310-0743;Stadtwerke Brandenburg an der Havel GmbH & Co. KG;Heizkraftwerk Brandenburg;BB;14772;Brandenburg;Brandenburg;48.070;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;12000000;2
629;14310-0012;Fresenius Medical Care Deutschland GmbH;Heizzentrale und Gasturbinenanlage mit Abhitzekesseln;SL;66606;St. Wendel;St. Wendel;101.130;2;Energieumwandlung ? 50 MW FWL;NACE 32.50;;10046117;2
619;14310-0001;Karlsberg Brauerei GmbH;Kesselhaus der Karlsberg Brauerei GmbH;SL;66424;Homburg;Homburg;22.973;3;Energieumwandlung 20–50 MW FWL;NACE 11.05;;10045114;1
1215;14310-0659;STEAG New Energies GmbH;Heizkraftwerk Homburg;SL;66424;Homburg;Homburg;12.116;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;10045114;1
1618;14310-1110;Michelin Reifenwerke AG & Co. KGaA;Werk Homburg, Energiezentrale;SL;66424;Homburg;Homburg;49.999;3;Energieumwandlung 20–50 MW FWL;NACE 22.11;;10045114;1
852;14310-0257;STEAG GmbH;Kraftwerk Bexbach;SL;66450;Bexbach;Bexbach;37.768;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;10045111;1
838;14310-0242;VSE AG;Kraftwerk Ensdorf Block 3;SL;66806;Ensdorf;Ensdorf;0;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;09371120;2
839;14310-0243;VSE AG Saarbrücken;Kraftwerk Ensdorf Block 1;SL;66806;Ensdorf;Ensdorf;0;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;09371120;2
38;14220-0001;Stahlwerk Bous GmbH;Elektrostahlwerk;SL;66359;Bous;Bous;23.385;10;Herstellung von Roheisen und Stahl;NACE 24.10;;10044122;1
768;14310-0162;innogy SE;FHW 107;HE;65824;Schwalbach;Schwalbach;8.024;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;06436011;2
207766;14310-1898;Ford-Werke GmbH;BHKW-Anlage Fordwerke;SL;66740;Saarlouis;Saarlouis;65.098;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;10044115;2
49;14220-0012;Zentralkokerei Saar GmbH (ZKS);Einheitliche Anlage der Zentralkokerei;SL;66763;Dillingen;Dillingen;971.945;8;Kokereien;NACE 19.10;;09773125;3
52;14220-0015;ROGESA Roheisengesellschaft Saar mbH;Einheitliche Anlage der Roheisengesellschaft Saar;SL;66763;Dillingen;Dillingen;4.683.105;10;Herstellung von Roheisen und Stahl;NACE 24.10;;09773125;3
