ID;Nummer;Betreiber;Anlagenname;Bundesland;PLZ;Ort Orignal;Ort;VET 2018 [t CO2 Äq];Haupttätigkeit nach TEHG;Bezeichnung Haupttätigkeit nach TEHG;NACE WZ2008;AGS_manual;AGS;Prüfsumme
6;14210-0006;TOTAL Bitumen Deutschland GmbH;Destillation und Nebenanlagen;SH;25541;Brunsbüttel;Brunsbüttel;33.165;7;Raffinerien;NACE 19.20;;01051011;1
20;14210-0020;TOTAL Raffinerie Mitteldeutschland GmbH;Mineralölraffinerie Leuna;ST;06237;Spergau;Spergau;2.135.154;7;Raffinerien;NACE 19.20;;15088350;1
56;14220-0019;Aktiengesellschaft der Dillinger Hüttenwerke;Einheitliche Anlage Stahlwerk Dillinger Hütte;SL;66763;Dillingen, Saar;Dillingen;407.136;10;Herstellung von Roheisen und Stahl;NACE 24.10;;09773125;3
205003;14226-0017;Vallourec Deutschland GmbH;Rohrkontistraße;NW;45476;Mülheim an der Ruhr;Mülheim an der Ruhr;53.935;11;Verarbeitung von Eisenmetallen;NACE 24.20;;05117000;1
205385;14226-0078;Hammerwerk Erft, G. Diederichs GmbH & Co. KG;Hammerwerk und Warmwalzwerk;NW;53902;Bad Münstereifel;Bad Münstereifel;18.639;11;Verarbeitung von Eisenmetallen;NACE 25.50;;05366004;1
75;14230-0003;Holcim (Deutschland) GmbH;Werk Höver;NI;31319;Sehnde;Sehnde;654.419;14;Herstellung von Zementklinker;NACE 23.51;;03241016;1
125;14240-0006;Fels-Werke GmbH;Fels KH NSO 1 - 5;ST;38875;Oberharz am Brocken;Oberharz am Brocken;179.402;15;Herstellung von Kalk;NACE 23.52;;15085228;1
126;14240-0007;Fels-Werke GmbH;Fels KK RSO 1-4;ST;38875;Oberharz am Brocken;Oberharz am Brocken;257.226;15;Herstellung von Kalk;NACE 23.52;;15085228;1
128;14240-0009;Fels-Werke GmbH;Fels KK NSO 5;ST;38875;Oberharz am Brocken;Oberharz am Brocken;40.810;15;Herstellung von Kalk;NACE 23.52;;15085228;1
129;14240-0010;Fels-Werke GmbH;Fels KR GGR 9;ST;38889;Oberharz am Brocken;Oberharz am Brocken;97.226;15;Herstellung von Kalk;NACE 23.52;;15085228;1
130;14240-0011;Fels-Werke GmbH;Fels KA RSO NSO GGR;BY;93342;Saal a.d.Donau;Saal a.d.Donau;296.114;15;Herstellung von Kalk;NACE 23.52;;09273166;1
132;14240-0013;Fels-Werke GmbH;Fels KK GGR 6;ST;38875;Oberharz am Brocken;Oberharz am Brocken;48.840;15;Herstellung von Kalk;NACE 23.52;;15085228;1
144;14240-0026;Kalk- und Mergelwerke Heinrich Müller GmbH & Co. KG;Kalkschachtofen;NW;33790;Halle (Westf.);Halle (Westf.);9.506;15;Herstellung von Kalk;NACE 23.52;;05754012;1
163;14240-0047;Nordzucker AG;Feuerungsanlagen Klein Wanzleben;ST;39164;Wanzleben;Wanzleben;107.887;15;Herstellung von Kalk;NACE 10.81;;15083530;2
168;14240-0053;Fels-Werke GmbH;Fels KR NSO 1-8;ST;38889;Oberharz am Brocken;Oberharz am Brocken;197.078;15;Herstellung von Kalk;NACE 23.52;;15085228;1
169;14240-0054;Köhler Kalk GmbH;Kalkwerk;HE;32790;Meißner;Meißner;49.916;15;Herstellung von Kalk;NACE 23.52;;06636008;1
180;14240-0067;Pfeifer & Langen GmbH & Co. KG;Zuckerfabrik Appeldorn;NW;47546;Kalkar;Kalkar;45.114;15;Herstellung von Kalk;NACE 10.81;;05154024;1
3698;14240-0086;Südzucker AG;Zuckerfabrik Brottewitz;BB;04895;Mühlberg/Elbe;Mühlberg/Elbe;72.412;15;Herstellung von Kalk;NACE 10.81;;12062341;1
4105;14240-0090;Fels-Werke GmbH;Fels KK GGR 7;ST;38875;Oberharz am Brocken;Oberharz am Brocken;108.815;15;Herstellung von Kalk;NACE 23.52;;15085228;1
200;14250-0014;SAINT-GOBAIN GLASS Deutschland GmbH;Glasschmelzanlage zur Herstellung von Flachglas nach dem Floatverfahren;NW;51143;Köln;Köln;157.478;16;Herstellung von Glas;NACE 23.11;;05315000;1
210;14250-0024;Glaswerk Ernstthal GmbH;Anlage zur Herstellung von Glas;TH;98724;Lauscha;Lauscha;87.322;16;Herstellung von Glas;NACE 23.13;;16072011;1
231;14250-0047;Heinz-Glas Produktion GmbH & Co. KGaA;Wanne2+3 mit Feedern und Kühlbahnen;BY;96355;Tettau;Tettau;5.753;16;Herstellung von Glas;NACE 23.13;;09476179;3
262;14250-0078;Wiegand-Glashüttenwerke GmbH;Wiegand-Glashüttenwerke GmbH Werk Steinbach a. Wald;BY;96361;Steinbach a.Wald;Steinbach a.Wald;78.773;16;Herstellung von Glas;NACE 23.13;;09476175;1
1882;14250-0093;Euroglas AG;Flachglasanlage;ST;39171;Osterweddingen;Sülzetal;145.985;16;Herstellung von Glas;NACE 23.11;;15083490;1
4139;14250-0101;f | glass GmbH;Anlage zum Herstellen von Flachglas;ST;39171;Osterweddingen;Sülzetal;125.921;16;Herstellung von Glas;NACE 23.19;;15083490;1
4168;14250-0106;Heinz-Glas Produktion GmbH & Co.KGaA;Wanne5;BY;96355;Tettau - Kleintettau;Tettau;5.529;16;Herstellung von Glas;NACE 23.13;;09476179;3
3900;14255-0004;ROCKWOOL Operations GmbH & Co. KG;Werk Neuburg Mineralwollherstellung Linie 4 und 5;BY;86633;Neuburg a. d. Donau;Neuburg a.d.Donau;76.769;18;Herstellung von Mineralfasern;NACE 23.99;;#NV;0
289;14260-0015;Erbersdobler Ziegel GmbH & Co. KG;Ziegelwerk Erbersdobler;BY;94081;Fürstenzell, Markt;Fürstenzell;22.588;17;Herstellung von Keramik;NACE 23.32;;09275122;1
297;14260-0023;Leipfinger-Bader KG;Werk Puttenhausen;BY;84048;Puttenhausen;Rudelzhausen;23.759;17;Herstellung von Keramik;NACE 23.32;;09178122;1
298;14260-0024;Leipfinger Bader KG, Ziegelwerke;Werk Vatersdorf;BY;84172;Vatersdorf;Buch a.Erlbach;18.471;17;Herstellung von Keramik;NACE 23.32;;09274121;1
299;14260-0025;Ziegelwerk Englert GmbH;Ziegelwerk Englert;BY;97509;Zeilitzheim;Kolitzheim;5.660;17;Herstellung von Keramik;NACE 23.32;;09678150;1
314;14260-0042;Refratechnik Ceramics GmbH;Feuerfestwerk;NI;49328;Melle;Melle;11.808;17;Herstellung von Keramik;NACE 23.20;;03459024;4
316;14260-0045;Wienerberger GmbH;Hintermauerziegelwerk Buldern;NW;48249;Dülmen;Dülmen;11.352;17;Herstellung von Keramik;keine Information;;05558016;1
325;14260-0054;Wienerberger GmbH;Hintermauerziegelwerk Erfurt;TH;99091;Erfurt;Erfurt;0;17;Herstellung von Keramik;keine Information;;16051000;1
335;14260-0064;Wienerberger GmbH;Werk Bollstedt;TH;99998;Bollstedt;Weinbergen;16.371;17;Herstellung von Keramik;NACE 23.32;;16064066;1
205358;14260-0067;ERLUS AG;Dachziegelproduktion Neufahrn, bestehend aus den Anlagenteilen Werk 1, Werk 2 und Werk 3;BY;84088;Neufahrn NB.;Neufahrn i.NB;40.157;17;Herstellung von Keramik;NACE 23.32;;#NV;0
205359;14260-0068;ERLUS AG;Kaminrohrwerk;BY;84088;Neufahrn NB.;Neufahrn i.NB;1.388;17;Herstellung von Keramik;NACE 23.49;;#NV;0
361;14260-0097;Ziegelwerk Stengel GmbH;Ziegelwerk Stengel GmbH;BY;86633;Neuburg a. d. Donau;Neuburg a.d.Donau;4.513;17;Herstellung von Keramik;NACE 23.32;;#NV;0
379;14260-0115;Wienerberger GmbH;Werk Reetz;BB;14827;Reetz;Gülitz-Reetz;49.223;17;Herstellung von Keramik;NACE 23.32;;12070145;1
386;14260-0122;P-D Industriegesellschaft mbH;P-D Industriegesellschaft mbH Feuerfestwerke Wetro;SN;02699;Puschwitz;Puschwitz;6.916;17;Herstellung von Keramik;NACE 23.20;;14625460;1
398;14260-0136;Ziegelsysteme Michael Kellerer GmbH & Co. KG;Ziegelsysteme Michael Kellerer GmbH & Co. KG;BY;82281;Oberweikertshofen;Egenhofen;17.087;17;Herstellung von Keramik;NACE 23.32;;09179117;1
431;14260-0172;Ziegelei Hebrok GmbH & Co. KG;Ziegelei Hebrok GmbH & Co. KG;NI;49170;Natrup Hagen;Hagen am Teutoburger Wald;7.165;17;Herstellung von Keramik;NACE 23.32;;03459020;1
432;14260-0173;Hollager Ziegelwerk Berentelg & Hebrok GmbH & Co.KG;Hollager Ziegelwerk;NI;49134;Wallenhorst Hollage;Wallenhorst;5.135;17;Herstellung von Keramik;NACE 23.32;;03459033;1
437;14260-0178;ABC Keramik H. & R. Berentelg GmbH & Co. KG;Keramikwerk Velpe;NW;49492;Westerkappeln - Velpe;Westerkappeln;6.700;17;Herstellung von Keramik;NACE 23.31;;05566092;1
441;14260-0182;Ziegelwerk Ott Deisendorf GmbH;Ziegelwerk Ott Deisendorf;BW;88662;Überlingen - Deisendorf;Überlingen;8.976;17;Herstellung von Keramik;NACE 23.32;;08435059;1
445;14260-0189;August Lücking GmbH & Co KG;Anlage zum Brennen keramischer Erzeugnisse;NW;34414;Warburg-Bonenburg;Warburg;22.014;17;Herstellung von Keramik;NACE 23.32;;05762036;1
460;14260-0208;Refratechnik Cement GmbH;Werk Gochsheim;BW;76703;Kraichtal-Gochsheim;Kraichtal;12.065;17;Herstellung von Keramik;NACE 23.20;;08215097;1
476;14260-0224;Ziegel- und Klinkerwerke Janinhoff GmbH & Co. KG;Ziegel- und Klinkerwerke Janinhoff GmbH & Co. KG;NW;48163;Münster - Hiltrup;Münster;9.105;17;Herstellung von Keramik;NACE 23.32;;09779187;9
202376;14260-0246;Dachziegelwerke Nelskamp GmbH;Werk Groß Ammensleben;ST;39326;Verbandsgemeinde Niedere Börde OT Groß Ammensleben;Niedere Börde;42.839;17;Herstellung von Keramik;NACE 23.32;;15083390;1
203615;14260-0252;Deutsche Steinzeug Cremer & Breuer AG;Werk Witterschlick;NW;53347;Alfter-Witterschlick;Alfter;22.443;17;Herstellung von Keramik;NACE 23.31;;05382004;1
205343;14260-0259;KDW Klinkerdachziegelwerk GmbH & Co.KG;KDW Klinkerdachziegelwerk Natrup Hagen;NI;49170;Natrup Hagen;Hagen am Teutoburger Wald;4.801;17;Herstellung von Keramik;NACE 23.32;;03459020;1
201642;14260-0263;Creaton Produktions GmbH;Anlage zum Brennen keramischer Erzeugnisse;TH;99998;Weinbergen / Höngeda;Weinbergen;16.285;17;Herstellung von Keramik;NACE 23.32;;16064066;1
201608;14260-0277;Creaton Produktions GmbH Werk Autenried;Anlage zum Brennen keramischer Erzeugnisse;BY;89335;Ichenhausen-Autenried;Ichenhausen;10.013;17;Herstellung von Keramik;NACE 23.32;;09774143;1
201612;14260-0280;Creaton Produktions GmbH Werk Roggden;Anlage zum Brennen keramischer Erzeugnisse;BY;86637;Wertingen-Roggden;Wertingen;7.895;17;Herstellung von Keramik;NACE 23.32;;09773182;1
202601;14260-0283;Argeton GmbH;Dachziegelwerk Görlitz;SN;02829;Schöpstal / OT Ebersbach;Schöpstal;4.692;17;Herstellung von Keramik;NACE 23.32;;14626520;1
202602;14260-0288;Wienerberger GmbH;Dachziegelwerk 3 Eisenberg / Pfalz;RP;67304;Eisenberg / Pfalz;Eisenberg;7.982;17;Herstellung von Keramik;NACE 23.32;;16074018;3
202603;14260-0291;Wienerberger GmbH;Dachziegelwerk 5 Eisenberg / Pfalz;RP;67304;Eisenberg / Pfalz;Eisenberg;2.210;17;Herstellung von Keramik;NACE 23.32;;16074018;3
209103;14260-0294;Klingenberg Dekoramik GmbH;Klingenberg Dekoramik;BY;63911;Klingenberg / Main;Klingenberg a.Main;6.072;17;Herstellung von Keramik;NACE 23.31;;09676134;1
494;14280-0001;Hollingsworth & Vose GmbH;Papiermaschine PM 2;HE;35116;Hatzfeld/Eder;Hatzfeld (Eder);2.802;21;Herstellung von Papier;NACE 17.12;;06635014;1
498;14280-0005;Kübler & Niethammer Papierfabrik Kriebstein AG;Einheitliche Anlage bestehend aus Anlage zur Papierherstellung und Kraftwerk;SN;09648;Kriebstein OT Kriebethal;Kriebstein;68.772;21;Herstellung von Papier;NACE 17.12;;14522300;1
507;14280-0015;Buchmann GmbH Kartonfabrik;Anlagen zur Kartonproduktion;RP;76855;Annweiler-Sarnstall;Annweiler;86.062;21;Herstellung von Papier;NACE 17.12;;07337501;1
513;14280-0021;WEPA Hygieneprodukte GmbH;Werk Arnsberg Müschede Papierfabrik;NW;59757;Arnsberg-Müschede;Arnsberg;24.100;21;Herstellung von Papier;NACE 17.12;;05958004;1
514;14280-0022;WEPA Hygieneprodukte GmbH;Papierfabrik WEPA Giershagen;NW;34431;Marsberg Giershagen;Marsberg;24.512;21;Herstellung von Papier;NACE 17.12;;05958024;1
538;14280-0048;Smurfit Kappa Wrexen Paper & Board GmbH;Papiermaschinen mit Heizkraftwerk;HE;34474;Diemelstadt-Wrexen;Diemelstadt;80.569;21;Herstellung von Papier;NACE 17.21;;06635008;1
542;14280-0052;Pappenfabrik Nierfeld Joseph Piront GmbH & Co. KG;Pappenerzeugung;NW;53937;Schleiden-Gemünd;Schleiden;2.663;21;Herstellung von Papier;NACE 17.12;;05366036;1
543;14280-0053;Papierfabrik Tillmann;Papierfabrik zur Herstellung von Wellpappenrohpapieren mit einer KWK-Anlage zur Papierproduktion;NW;53909;Zülpich - Sinzenich;Zülpich;40.521;21;Herstellung von Papier;NACE 17.12;;05366044;1
544;14280-0054;Neu Kaliss Spezialpapier GmbH;Anlage zur Herstellung von Spezialpapier;MV;19294;Neu Kaliß, OT Heiddorf;Neu Kaliß;6.226;21;Herstellung von Papier;NACE 17.12;;13076103;2
554;14280-0064;Essity Operations Mainz-Kostheim GmbH;Essity Kostheim;HE;55246;Mainz-Kostheim;Mainz;74.398;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;07315000;2
572;14280-0084;Sprick GmbH Bielefelder Papier- und Wellpappenwerke & Co.;Papiermaschine;HE;34474;Diemelstadt-Wrexen;Diemelstadt;445;21;Herstellung von Papier;NACE 17.12;;06635008;1
202469;14280-0153;Carl Macher GmbH & Co KG;Papierfabrik Brunnenthal;BY;95189;Brunnenthal;Köditz;0;21;Herstellung von Papier;NACE 17.12;;09475141;1
203457;14280-0169;Glatfelter Ober-Schmitten GmbH;Glatfelter Ober-Schmitten GmbH;HE;63667;Nidda - Oberschmitten;Nidda;0;21;Herstellung von Papier;NACE 17.12;;06440016;2
206266;14280-0173;Kartonfabrik Porstendorf GmbH;Kartonfabrik Porstendorf GmbH;TH;07778;Neuengönna / Porstendorf;Neuengönna;0;21;Herstellung von Papier;NACE 17.12;;16074063;1
698;14310-0087;GHP Glunz Holzwerkstoffproduktions-GmbH;Anlage zur Herstellung von Holzfaser- und Spanplatten;NW;32805;Horn - Bad Meinberg;Horn - Bad Meinberg;12.088;2;Energieumwandlung ? 50 MW FWL;NACE 16.21;;#NV;0
764;14310-0158;SKW Stickstoffwerke Piesteritz GmbH;Industriekraftwerk;ST;06886;Lutherstadt Wittenberg;Lutherstadt Wittenberg;49.946;2;Energieumwandlung ? 50 MW FWL;NACE 20.15;;#NV;0
772;14310-0167;Glatfelter Ober-Schmitten Gmbh;Glatfelter GuD Anlage Oberschmitten;HE;63667;Nidda - Oberschmitten;Nidda - Oberschmitten;13.801;3;Energieumwandlung 20–50 MW FWL;NACE 17.12;;#NV;0
804;14310-0202;Molkerei Meggle Wasserburg GmbH & Co KG;Heizkraftwerk Meggle;BY;83512;Wasserburg am Inn;Wasserburg am Inn;86.807;3;Energieumwandlung 20–50 MW FWL;NACE 10.51;;#NV;0
825;14310-0226;Stadtwerke Rostock AG;HKW Rostock Marienehe;MV;18069;Rostock;Rostock;192.173;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;#NV;0
874;14310-0282;SecAnim GmbH;SecAnim GmbH NL Mützel;ST;39307;Mützel;Mützel;10.824;3;Energieumwandlung 20–50 MW FWL;NACE 10.41;;#NV;0
888;14310-0297;Rain Biomasse Wärmegesellschaft mbH;Biomasseheizwerk Rain;BY;86641;Rain am Lech;Rain am Lech;3.111;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
946;14310-0362;Gassco AS Zweigniederlassung Deutschland;Erdgas-Aufbereitungsanlage (Heißwassersystem);NI;26553;Dornum/Nesse;Dornum/Nesse;49.311;2;Energieumwandlung ? 50 MW FWL;NACE 35.21;;#NV;0
978;14310-0400;ROMONTA GmbH;Schmierstoffraffinerie Amsdorf;ST;06317;Seegebiet Mansfelder Land, OT Amsdorf;Seegebiet Mansfelder Land, OT Amsdorf;464.982;7;Raffinerien;NACE 19.20;;#NV;0
1007;14310-0433;FFR Fernwärmeversorgung Flugplatz Ramstein GmbH;Heizwerk 1;RP;66877;Ramstein Flugplatz;Ramstein Flugplatz;21.002;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
1021;14310-0448;Herbstreith & Fox GmbH;Herbstreith & Fox GmbH (Energiezentrale);BB;14542;Werder/Havel;Werder/Havel;19.661;3;Energieumwandlung 20–50 MW FWL;NACE 10.89;;#NV;0
1027;14310-0454;Infraserv GmbH & Co. Höchst KG;Heizkraftwerk, Geb. D 580;HE;65929;Frankfurt-Höchst;Frankfurt-Höchst;1.010.150;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;#NV;0
1036;14310-0464;FFR Fernwärmeversorgung Flugplatz Ramstein GmbH;Heizwerk 2;RP;66877;Ramstein Flugplatz;Ramstein Flugplatz;326;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
1041;14310-0470;Brauerei C. & A. Veltins GmbH & Co. KG;Brauerei Veltins;NW;59872;Meschede - Grevenstein;Meschede - Grevenstein;10.726;3;Energieumwandlung 20–50 MW FWL;NACE 11.05;;#NV;0
1114;14310-0551;Stadtwerke Lutherstadt Wittenberg GmbH;Heizwerk Berliner-Straße (Kessel);ST;06886;Lutherstadt Wittenberg;Lutherstadt Wittenberg;5.477;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
1131;14310-0569;MIBRAG Mitteldeutsche Braunkohlengesellschaft mbH;Industriekraftwerk Wählitz;ST;06679;Hohenmölsen, OT Wählitz;Hohenmölsen, OT Wählitz;241.998;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
1133;14310-0571;MIBRAG Mitteldeutsche Braunkohlengesellschaft mbH;Kraftwerk Deuben;ST;06682;Teuchern, OT Deuben;Teuchern, OT Deuben;777.347;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
1148;14310-0588;Sales & Solutions GmbH;HKW Heidenheim - Gesamtanlage;BW;89522;Heidenheim / Brenz;Heidenheim / Brenz;26.146;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;#NV;0
1190;14310-0634;STEAG New Energies GmbH;Heizkraftwerk Wellesweiler;SL;66539;Wellesweiler;Wellesweiler;4.250;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
1192;14310-0636;Boehringer Ingelheim Pharma GmbH & Co. KG;Anlage J41;BW;88400;Biberach an der Riss;Biberach an der Riss;27.902;3;Energieumwandlung 20–50 MW FWL;NACE 21.20;;#NV;0
1209;14310-0653;Wernsing Feinkost GmbH;Wernsing Feuerungsanlage;NI;49632;Addrup-Essen;Addrup-Essen;41.923;3;Energieumwandlung 20–50 MW FWL;NACE 10.31;;#NV;0
1219;14310-0663;STEAG New Energies GmbH;Spitzenlast-Heißwasserkesselanlage Simbach;BY;84359;Simbach am Inn;Simbach am Inn;2.565;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
1231;14310-0675;Lausitz Energie Kraftwerke AG;Gasturbinenkraftwerk Thyrow;BB;14974;Märkisch Wilmersdorf;Märkisch Wilmersdorf;1.276;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
1241;14310-0685;STEAG New Energies GmbH;Heizkraftwerk Neufahrn;BY;85375;Neufahrn b. Freising;Neufahrn b. Freising;6.209;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
1282;14310-0731;Carl Macher GmbH & Co. KG;HKW Macher;BY;95189;Brunnenthal;Brunnenthal;59.679;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;#NV;0
1309;14310-0760;KNG Kraftwerks- und Netzgesellschaft mbH;Kraftwerk Rostock;MV;18147;Rostock;Rostock;1.845.401;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
1342;14310-0796;K+S KALI GmbH, Werk Werra, Standort Wintershall;Trocknung Standort Wintershall;HE;36266;Heringen Werra;Heringen Werra;29.428;3;Energieumwandlung 20–50 MW FWL;NACE 20.15;;#NV;0
1345;14310-0799;K+S KALI GmbH, Werk Werra, Standort Hattorf;Trocknung Standort Hattorf;HE;36269;Philippsthal/Werra;Philippsthal/Werra;18.931;3;Energieumwandlung 20–50 MW FWL;NACE 20.15;;#NV;0
1347;14310-0801;K+S KALI GmbH, Werk Werra, Standort Wintershall;Kraftwerk Standort Wintershall;HE;36266;Heringen/Werra;Heringen/Werra;161.052;2;Energieumwandlung ? 50 MW FWL;NACE 20.15;;#NV;0
1351;14310-0806;K+S KALI GmbH, Werk Werra, Standort Hattorf;Kraftwerk Standort Hattorf;HE;36269;Philippsthal/Werra;Philippsthal/Werra;291.379;2;Energieumwandlung ? 50 MW FWL;NACE 20.15;;#NV;0
1361;14310-0816;envia THERM GmbH;Spitzenstromanlage Großkayna;ST;06242;Großkayna;Großkayna;5.661;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
1449;14310-0911;Sachsenmilch Leppersdorf GmbH;Dampfkesselanlage Sachsenmilch Leppersdorf GmbH (3 Dampferzeugereinheiten);SN;01454;Wachau OT Leppersdorf;Wachau OT Leppersdorf;13.410;3;Energieumwandlung 20–50 MW FWL;NACE 10.51;;#NV;0
1455;14310-0917;EnBW Energie Baden-Württemberg AG;Kraftwerk Marbach;BW;71672;Marbach a. N.;Marbach a. N.;5.058;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
1460;14310-0922;Lausitz Energie Kraftwerke AG;Kraftwerk Lippendorf;SN;04575;Neukieritzsch OT Lippendorf;Neukieritzsch OT Lippendorf;11.711.105;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
1583;14310-1069;Milei GmbH;Feuerungsanlage und Gasturbinen Heizkraftwerk (GT-HKW) Milei;BW;88299;Leutkirch-Adrazhofen;Leutkirch-Adrazhofen;52.852;2;Energieumwandlung ? 50 MW FWL;NACE 10.51;;#NV;0
1598;14310-1085;Freudenberg Service Kommanditgesellschaft;Heizkraftwerk Freudenberg Weinheim;BW;69469;Weinheim (Bergstr.);Weinheim (Bergstr.);24.055;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;#NV;0
1615;14310-1104;Siemens Mobility GmbH;Wärmeversorgungszentrale Kessel 1-4 und BHKW;NW;47829;Krefeld-Uerdingen;Krefeld-Uerdingen;8.747;3;Energieumwandlung 20–50 MW FWL;NACE 30.20;;#NV;0
1633;14310-1130;Papierfabrik Louisenthal GmbH;Einheitliche Anlage Heizkraftwerk Louisenthal Papiermaschine PM1;BY;83703;Gmund am Tegernsee;Gmund a.Tegernsee;9.654;21;Herstellung von Papier;NACE 17.29;;09182116;1
1760;14310-1314;Boehringer Ingelheim Pharma GmbH & Co. KG;Anlage H111;BW;88400;Biberach an der Riss;Biberach an der Riss;27.638;2;Energieumwandlung ? 50 MW FWL;NACE 21.20;;#NV;0
1775;14310-1333;Pharmaserv GmbH;Dampfkesselanlage M227;HE;35041;Marburg, Ortsteil Görzhausen;Marburg, Ortsteil Görzhausen;11.081;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
1789;14310-1350;Stadtwerke Leipzig GmbH;Heißwassererzeuger Kulkwitz;SN;04420;Leipzig-Markranstädt;Leipzig-Markranstädt;279;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;#NV;0
1888;14310-1410;Knapsack Power GmbH & Co. KG;Gas und Dampfturbinen Kraftanlage Knapsack;NW;50351;Hürth-Knapsack;Hürth-Knapsack;161.674;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
2195;14310-1412;Trianel Gaskraftwerk Hamm GmbH & Co. KG;GuD Hamm - TGH;NW;59071;Hamm Uentrop;Hamm Uentrop;331.652;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
205282;14310-1437;SchwörerHaus KG;Kraftwerksanlage SchwörerHaus KG;BW;72531;Hohenstein-Oberstetten;Hohenstein-Oberstetten;772;4;Energieumwandlung 20–50 MW FWL, andere Brennstoffe;NACE 16.10;;#NV;0
4109;14310-1459;Vattenfall Wärme Hamburg GmbH;Heizwerk Eppendorf;HH;20246;Hamburg-Eppendorf;Hamburg-Eppendorf;718;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
4118;14310-1466;I. Van Roje & Sohn Sägewerk und Holzhandlung GmbH & Co KG;Kesselhaus;RP;56587;Oberhonnefeld-Gierend;Oberhonnefeld-Gierend;6;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
202710;14310-1622;MeisterWerke Schulte GmbH;Feuerungsanlage für biogene Brennstoffe bekannter Herkunft;NW;59602;Rüthen-Meiste;Rüthen-Meiste;164;4;Energieumwandlung 20–50 MW FWL, andere Brennstoffe;NACE 16.21;;#NV;0
4147;14310-1747;BwDLZ Bergen;Feuerungsanlage bestehend aus 4 Hochdruckheißwassererzeuger;NI;29303;Bergen-Hohne;Bergen-Hohne;13.831;3;Energieumwandlung 20–50 MW FWL;NACE 84.22;;#NV;0
205202;14310-1778;Caterpillar Motoren Rostock GmbH;Prüffelder für Verbrennungsmotoren;MV;18119;Rostock;Rostock;6.479;1;Verbrennung;NACE 28.11;;#NV;0
202472;14310-1784;Fa. Otto Morof Tief- und Straßenbau GmbH;Asphaltwerk Herrenberg;BW;71083;Herrenberg-Haslach;Herrenberg-Haslach;3.332;1;Verbrennung;NACE 23.99;;#NV;0
203972;14310-1822;Zweckverband Abfallwirtschaft Saale-Orla (ZASO);Thermische Verwertungsanlage Schwarza (TVS);TH;07407;Rudolstadt-Schwarza;Rudolstadt-Schwarza;31.335;4;Energieumwandlung 20–50 MW FWL, andere Brennstoffe;NACE 35.30;;#NV;0
202777;14310-1839;Statkraft Markets GmbH;Gas und Dampfturbinen Kraftanlage Knapsack 2;NW;50351;Hürth-Knapsack;Hürth-Knapsack;317.032;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;#NV;0
206158;14310-1865;Storengy Deutschland GmbH;Kavernenspeicher Peckensen;ST;29413;Wallstawe, OT Nipkendey;Wallstawe, OT Nipkendey;1.880;2;Energieumwandlung ? 50 MW FWL;keine Information;;#NV;0
207675;14310-1890;Sachsenmilch Leppersdorf GmbH;GuD-Anlage Sachsenmilch Leppersdorf GmbH;SN;01454;Wachau OT Leppersdorf;Wachau OT Leppersdorf;127.694;2;Energieumwandlung ? 50 MW FWL;NACE 10.51;;#NV;0
208804;14310-1897;Erdwärme Grünwald GmbH;Heizkraftwerk Laufzorn;BY;82041;Grünwald - Standort Laufzorn;Grünwald - Standort Laufzorn;7.801;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;#NV;0
210603;14310-1917;ENGIE Deutschland GmbH;HKW Lusan;TH;07549;Gera Gemarkung Lusan;Gera Gemarkung Lusan;210;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;#NV;0
